barcode,title,author,subject,description,category,media,publisher,publocation,pubdate,edition,isbn,type,thumburl,keywords,callnumber
9780074621226,Internal Combustion Engines,V. Ganeshan,Automotive,,,,,,,,978-0-07-462122-6,General,,,770
9781557880550,Chassis Engineering ,Herb Adams,Automotive,,,,,,,,978-1-55-788055-0,General,,,396
9788121902144,The Automobile,Harbans Singh Reyat,Automotive,,,,,,,,978-8-12-190214-4,General,,,308
9780827384798,Principals of Electricity & Electronics for the Automotive Technician,Norm Chapman,Automotive,,,,,,,,978-0-82-738479-8,General,,,188
9780768005097,Diesel - Engine Management,BOSCH,Automotive,,,,,,,,978-0-76-800509-7,General,,,393
9780070286375,IC Engine Fundementals,John B. Heywood,Automotive,,,,,,,,978-0-07-028637-5,General,,,402
9788131204344,Intoduction to Naval Architecture,Eric C. Tupper,Automotive,,,,,,,,978-8-13-120434-4,General,,,719
9788131204344,Intoduction to Naval Architecture,Eric C. Tupper,Automotive,,,,,,,,978-8-13-120434-4,General,,,307
9788131204344,Intoduction to Naval Architecture,Eric C. Tupper,Automotive,,,,,,,,978-8-13-120434-4,General,,,720
9788131204344,Intoduction to Naval Architecture,Eric C. Tupper,Automotive,,,,,,,,978-8-13-120434-4,General,,,306
9788120305663,Everyday Dialogues in English - A New Revised Edition,Robert J. Dixon,Other,,,,,,,,978-8-12-030566-3,General,,,443
9780750649919,Engineering Science - Third Edition,John Bird,Other,,,,,,,Third,978-0-75-064991-9,General,,,788
9780195095999,At Home in the Universe,Stuart Kauffman,Other,,,,,,,,978-0-19-509599-9,General,,,472
9780398033620,Designing Schools and Schooling for the Handicapped,"Jack W. Birch , B. Kenneth Johnstone",Designing,,,,,,,,978-0-39-803362-0,General,,,803
9780673469106,Study Guide to Accompany Abnormaly Psychology,David J. Lutz,Other,,,,,,,,978-0-67-346910-6,General,,,465
9788176496803,The Professional Engineer in Society,"Stephen Collins, John Ghey,Graham Mills",Other,,,,,,,,978-8-17-649680-3,General,,,468
9788129704924,Creating Breakthrough Products,"Jonathan Cagan, Craid M. Vogel",Manufacturing,,,,,,,,978-8-12-970492-4,General,,,469
9780898592436,The Psychology of Human-Computer Interaction,"Stuart K. Card, Thormas P. Morgan, Allen Newell",Other,,,,,,,,978-0-89-859243-6,General,,,761
9780442214012,Handbook of The Psychology of Aging - Second Edition,"James E. Birren , K. Warner Schale",Other,,,,,,,Second,978-0-44-221401-2,General,,,754
